SCHOOLJAAR;BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;GEMEENTENUMMER;GEMEENTENAAM;PLAATSNAAM;PROVINCIE;ONDERWIJSTYPE VO;VAKCODE;AFKORTING VAKNAAM;VAKNAAM;SCHOOLEXAMEN BEOORDELING;TOTAAL AANTAL SCHOOLEXAMENS MET BEOORDELING;AANTAL SCHOOLEXAMENS MET BEOORDELING MEETELLEND VOOR DIPLOMA;TOTAAL AANTAL SCHOOLEXAMENS MET CIJFER;GEM. CIJFER TOTAAL AANTAL SCHOOLEXAMENS;AANTAL SCHOOLEXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;GEM. CIJFER SCHOOLEXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;TOTAAL AANTAL CENTRALE EXAMENS;GEM. CIJFER TOTAAL AANTAL CENTRALE EXAMENS;AANTAL CENTRALE EXAMENS MEETELLEND VOOR DIPLOMA;GEM. CIJFER CENTRALE EXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;GEM. CIJFER CIJFERLIJST;GEM. CIJFER REKENTOETS
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0131;ak;aardrijkskunde;;0;0;26;6,4;26;6,4;26;6,0;26;6,0;6,2;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0161;in;informatica;;0;0;24;6,8;0;,0;0;,0;0;,0;6,8;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0251;m&o;management en organisatie;;0;0;19;6,3;19;6,3;19;6,5;19;6,5;6,5;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0260;mu;muziek;;0;0;8;6,3;8;6,3;8;6,1;8;6,1;6,1;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0270;te;tekenen;;0;0;10;6,7;10;6,7;10;6,1;10;6,1;6,4;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0353;lo;lichamelijke opvoeding;G;32;32;0;,0;0;,0;0;,0;0;,0;,0;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0353;lo;lichamelijke opvoeding;V;60;60;0;,0;0;,0;0;,0;0;,0;,0;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0432;voda;vooropleiding dansvakonderwijs;;0;0;3;7,7;0;,0;0;,0;0;,0;7,7;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1001;netl;Nederlandse taal en literatuur;;0;0;95;6,2;95;6,2;95;6,3;95;6,3;6,3;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1002;entl;Engelse taal en literatuur;;0;0;94;6,8;94;6,8;94;7,2;94;7,2;7,0;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1003;fatl;Franse taal en literatuur;;0;0;9;5,9;9;5,9;9;5,9;9;5,9;6,0;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1004;dutl;Duitse taal en literatuur;;0;0;33;6,6;33;6,6;33;6,0;33;6,0;6,4;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1018;biol;biologie;;0;0;42;6,6;42;6,6;42;5,9;42;5,9;6,2;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1019;maat;maatschappijleer;;0;0;95;6,9;0;,0;0;,0;0;,0;6,9;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1020;ckv;culturele en kunstzinnige vorming;;0;0;95;7,4;0;,0;0;,0;0;,0;7,4;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1021;ges;geschiedenis;;0;0;45;6,3;45;6,3;45;6,1;45;6,1;6,2;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1022;econ;economie;;0;0;57;6,3;57;6,3;57;6,5;57;6,5;6,4;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1023;nat;natuurkunde;;0;0;40;6,5;40;6,5;40;6,7;40;6,7;6,7;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1024;wisA;wiskunde A;;0;0;70;6,1;70;6,1;70;6,6;70;6,6;6,4;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1025;wisB;wiskunde B;;0;0;18;6,1;18;6,1;18;6,9;18;6,9;6,6;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1028;schk;scheikunde;;0;0;49;6,4;49;6,4;49;6,1;49;6,1;6,3;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1032;kudr;kunst (drama);;0;0;7;7,2;7;7,2;7;6,3;7;6,3;6,9;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1036;hndv;handvaardigheid;;0;0;4;6,6;4;6,6;4;5,7;4;5,7;6,3;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1038;bsm;bewegen, sport en maatschappij;;0;0;14;6,8;0;,0;0;,0;0;,0;6,8;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1121;RT3F;rekentoets 3F;;0;0;0;,0;0;,0;0;,0;0;,0;,0;5,9
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1123;R3ER;rekentoets 3ER;;0;0;0;,0;0;,0;0;,0;0;,0;,0;6,0
2018;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0131;ak;aardrijkskunde;;0;0;9;6,7;9;6,7;9;6,7;9;6,7;6,7;,0
2018;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0251;m&o;management en organisatie;;0;0;13;5,8;13;5,8;13;5,0;13;5,0;5,4;,0
2018;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0270;te;tekenen;;0;0;6;6,4;6;6,4;6;6,4;6;6,4;6,3;,0
2018;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0353;lo;lichamelijke opvoeding;G;48;48;0;,0;0;,0;0;,0;0;,0;,0;,0
2018;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;0353;lo;lichamelijke opvoeding;V;5;5;0;,0;0;,0;0;,0;0;,0;,0;,0
2018;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1001;netl;Nederlandse taal en literatuur;;0;0;63;6,0;63;6,0;63;5,8;63;5,8;6,0;,0
2018;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1002;entl;Engelse taal en literatuur;;0;0;62;6,6;62;6,6;62;6,8;62;6,8;6,7;,0
2018;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1003;fatl;Franse taal en literatuur;;0;0;7;5,9;7;5,9;7;4,6;7;4,6;5,3;,0
2018;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1004;dutl;Duitse taal en literatuur;;0;0;9;6,2;9;6,2;9;5,6;9;5,6;5,9;,0
2018;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1018;biol;biologie;;0;0;31;6,3;31;6,3;31;5,9;31;5,9;6,1;,0
2018;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1019;maat;maatschappijleer;;0;0;54;7,2;0;,0;0;,0;0;,0;7,3;,0
2018;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1020;ckv;culturele en kunstzinnige vorming;;0;0;50;7,1;0;,0;0;,0;0;,0;7,1;,0
2018;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1020;ckv;culturele en kunstzinnige vorming;V;4;4;0;,0;0;,0;0;,0;0;,0;,0;,0
2018;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1021;ges;geschiedenis;;0;0;36;6,9;36;6,9;36;6,4;36;6,4;6,7;,0
2018;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1022;econ;economie;;0;0;43;5,9;43;5,9;43;5,5;43;5,5;5,8;,0
2018;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1023;nat;natuurkunde;;0;0;24;6,5;24;6,5;24;5,8;24;5,8;6,1;,0
2018;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1024;wisA;wiskunde A;;0;0;49;6,0;49;6,0;49;6,3;49;6,3;6,2;,0
2018;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1025;wisB;wiskunde B;;0;0;11;6,5;11;6,5;11;6,9;11;6,9;6,8;,0
2018;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1028;schk;scheikunde;;0;0;26;6,5;26;6,5;26;6,4;26;6,4;6,5;,0
2018;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1034;maw;maatschappijwetenschappen;;0;0;18;6,6;18;6,6;18;5,7;18;5,7;6,1;,0
2018;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1038;bsm;bewegen, sport en maatschappij;;0;0;25;6,9;0;,0;0;,0;0;,0;7,0;,0
2018;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;HAVO;1121;RT3F;rekentoets 3F;;0;0;0;,0;0;,0;0;,0;0;,0;,0;5,9
2018;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;0131;ak;aardrijkskunde;;0;0;18;6,6;18;6,6;18;6,1;18;6,1;6,4;,0
2018;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;0251;m&o;management en organisatie;;0;0;15;5,9;15;5,9;15;6,3;15;6,3;6,2;,0
2018;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;0353;lo;lichamelijke opvoeding;G;9;9;0;,0;0;,0;0;,0;0;,0;,0;,0
2018;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;0353;lo;lichamelijke opvoeding;V;43;43;0;,0;0;,0;0;,0;0;,0;,0;,0
2018;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1001;netl;Nederlandse taal en literatuur;;0;0;52;6,7;52;6,7;52;6,7;52;6,7;6,7;,0
2018;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1002;entl;Engelse taal en literatuur;;0;0;52;6,7;52;6,7;52;7,0;52;7,0;6,8;,0
2018;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1003;fatl;Franse taal en literatuur;;0;0;17;6,4;17;6,4;17;6,5;17;6,5;6,4;,0
2018;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1004;dutl;Duitse taal en literatuur;;0;0;26;6,4;26;6,4;26;6,1;26;6,1;6,2;,0
2018;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1018;biol;biologie;;0;0;27;6,3;27;6,3;27;6,4;27;6,4;6,4;,0
2018;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1019;maat;maatschappijleer;;0;0;52;6,9;0;,0;0;,0;0;,0;6,9;,0
2018;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1020;ckv;culturele en kunstzinnige vorming;;0;0;52;6,5;0;,0;0;,0;0;,0;6,5;,0
2018;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1021;ges;geschiedenis;;0;0;25;5,7;25;5,7;25;5,9;25;5,9;5,8;,0
2018;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1022;econ;economie;;0;0;19;6,0;19;6,0;19;6,5;19;6,5;6,2;,0
2018;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1023;nat;natuurkunde;;0;0;18;6,4;18;6,4;18;6,8;18;6,8;6,7;,0
2018;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1024;wisA;wiskunde A;;0;0;30;6,4;30;6,4;30;7,0;30;7,0;6,7;,0
2018;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1025;wisB;wiskunde B;;0;0;17;6,8;17;6,8;17;7,3;17;7,3;7,1;,0
2018;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1028;schk;scheikunde;;0;0;27;6,3;27;6,3;27;6,4;27;6,4;6,3;,0
2018;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1030;kubv;kunst (beeldende vormgeving);;0;0;11;7,1;11;7,1;11;6,9;11;6,9;7,1;,0
2018;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1035;nlt;natuur, leven en technologie;;0;0;18;6,6;0;,0;0;,0;0;,0;6,6;,0
2018;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1038;bsm;bewegen, sport en maatschappij;;0;0;8;6,5;0;,0;0;,0;0;,0;6,5;,0
2018;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1121;RT3F;rekentoets 3F;;0;0;0;,0;0;,0;0;,0;0;,0;,0;5,9
2018;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;0131;ak;aardrijkskunde;;0;0;32;6,1;32;6,1;32;6,5;32;6,5;6,3;,0
2018;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;0251;m&o;management en organisatie;;0;0;26;6,3;26;6,3;26;6,7;26;6,7;6,5;,0
2018;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;0270;te;tekenen;;0;0;10;6,7;10;6,7;10;5,6;10;5,6;6,1;,0
2018;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;0353;lo;lichamelijke opvoeding;G;15;15;0;,0;0;,0;0;,0;0;,0;,0;,0
2018;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;0353;lo;lichamelijke opvoeding;V;73;73;0;,0;0;,0;0;,0;0;,0;,0;,0
2018;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1001;netl;Nederlandse taal en literatuur;;0;0;88;6,1;88;6,1;88;6,3;88;6,3;6,3;,0
2018;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1002;entl;Engelse taal en literatuur;;0;0;88;6,7;88;6,7;88;6,9;88;6,9;6,8;,0
2018;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1003;fatl;Franse taal en literatuur;;0;0;21;6,7;21;6,7;21;6,4;21;6,4;6,5;,0
2018;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1004;dutl;Duitse taal en literatuur;;0;0;23;6,4;23;6,4;23;6,4;23;6,4;6,3;,0
2018;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1018;biol;biologie;;0;0;30;6,3;30;6,3;30;6,1;30;6,1;6,2;,0
2018;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1019;maat;maatschappijleer;;0;0;88;6,9;0;,0;0;,0;0;,0;6,9;,0
2018;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1020;ckv;culturele en kunstzinnige vorming;;0;0;62;7,1;0;,0;0;,0;0;,0;7,1;,0
2018;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1020;ckv;culturele en kunstzinnige vorming;G;1;1;0;,0;0;,0;0;,0;0;,0;,0;,0
2018;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1020;ckv;culturele en kunstzinnige vorming;V;25;25;0;,0;0;,0;0;,0;0;,0;,0;,0
2018;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1021;ges;geschiedenis;;0;0;54;6,6;54;6,6;54;6,6;54;6,6;6,6;,0
2018;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1022;econ;economie;;0;0;51;6,2;51;6,2;51;6,5;51;6,5;6,4;,0
2018;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1023;nat;natuurkunde;;0;0;26;6,3;26;6,3;26;6,7;26;6,7;6,6;,0
2018;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1024;wisA;wiskunde A;;0;0;62;6,4;62;6,4;62;6,7;62;6,7;6,5;,0
2018;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1025;wisB;wiskunde B;;0;0;24;6,5;24;6,5;24;6,9;24;6,9;6,7;,0
2018;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1028;schk;scheikunde;;0;0;36;7,1;36;7,1;36;7,7;36;7,7;7,4;,0
2018;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1034;maw;maatschappijwetenschappen;;0;0;26;6,5;26;6,5;26;6,9;26;6,9;6,7;,0
2018;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1035;nlt;natuur, leven en technologie;;0;0;18;6,7;0;,0;0;,0;0;,0;6,7;,0
2018;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1036;hndv;handvaardigheid;;0;0;8;6,6;8;6,6;8;5,6;8;5,6;6,0;,0
2018;00BD;00;Coenecoop College;0627;WADDINXVEEN;WADDINXVEEN;Zuid-Holland;HAVO;1121;RT3F;rekentoets 3F;;0;0;0;,0;0;,0;0;,0;0;,0;,0;6,1
2018;00CB;00;SGM VO Vrije Schoolond;0268;NIJMEGEN;NIJMEGEN;Gelderland;HAVO;0131;ak;aardrijkskunde;;0;0;42;6,8;42;6,8;42;6,2;42;6,2;6,5;,0
2018;00CB;00;SGM VO Vrije Schoolond;0268;NIJMEGEN;NIJMEGEN;Gelderland;HAVO;0353;lo;lichamelijke opvoeding;G;7;7;0;,0;0;,0;0;,0;0;,0;,0;,0
2018;00CB;00;SGM VO Vrije Schoolond;0268;NIJMEGEN;NIJMEGEN;Gelderland;HAVO;0353;lo;lichamelijke opvoeding;V;49;49;0;,0;0;,0;0;,0;0;,0;,0;,0
2018;00CB;00;SGM VO Vrije Schoolond;0268;NIJMEGEN;NIJMEGEN;Gelderland;HAVO;1018;biol;biologie;;0;0;16;6,4;16;6,4;16;6,5;16;6,5;6,6;,0
2018;00CB;00;SGM VO Vrije Schoolond;0268;NIJMEGEN;NIJMEGEN;Gelderland;HAVO;1019;maat;maatschappijleer;;0;0;57;6,9;0;,0;0;,0;0;,0;6,9;,0
2018;00CB;00;SGM VO Vrije Schoolond;0268;NIJMEGEN;NIJMEGEN;Gelderland;HAVO;1020;ckv;culturele en kunstzinnige vorming;;0;0;57;6,6;0;,0;0;,0;0;,0;6,6;,0
2018;00CB;00;SGM VO Vrije Schoolond;0268;NIJMEGEN;NIJMEGEN;Gelderland;HAVO;1021;ges;geschiedenis;;0;0;41;6,7;41;6,7;41;6,8;41;6,8;6,8;,0
2018;00CB;00;SGM VO Vrije Schoolond;0268;NIJMEGEN;NIJMEGEN;Gelderland;HAVO;1022;econ;economie;;0;0;31;6,4;31;6,4;31;6,1;31;6,1;6,2;,0
2018;00CB;00;SGM VO Vrije Schoolond;0268;NIJMEGEN;NIJMEGEN;Gelderland;HAVO;1023;nat;natuurkunde;;0;0;7;6,2;7;6,2;7;7,3;7;7,3;6,7;,0
2018;00CB;00;SGM VO Vrije Schoolond;0268;NIJMEGEN;NIJMEGEN;Gelderland;HAVO;1024;wisA;wiskunde A;;0;0;37;6,3;37;6,3;37;6,4;37;6,4;6,4;,0
2018;00CB;00;SGM VO Vrije Schoolond;0268;NIJMEGEN;NIJMEGEN;Gelderland;HAVO;1025;wisB;wiskunde B;;0;0;18;6,8;18;6,8;18;6,9;18;6,9;6,9;,0
2018;00CB;00;SGM VO Vrije Schoolond;0268;NIJMEGEN;NIJMEGEN;Gelderland;HAVO;1028;schk;scheikunde;;0;0;16;6,6;16;6,6;16;7,3;16;7,3;7,0;,0
2018;00CB;00;SGM VO Vrije Schoolond;0268;NIJMEGEN;NIJMEGEN;Gelderland;HAVO;1030;kubv;kunst (beeldende vormgeving);;0;0;24;6,9;24;6,9;24;6,3;24;6,3;6,7;,0
2018;00CB;00;SGM VO Vrije Schoolond;0268;NIJMEGEN;NIJMEGEN;Gelderland;HAVO;1031;kumu;kunst (muziek);;0;0;3;6,7;3;6,7;3;7,1;3;7,1;7,0;,0
2018;00CB;00;SGM VO Vrije Schoolond;0268;NIJMEGEN;NIJMEGEN;Gelderland;HAVO;1032;kudr;kunst (drama);;0;0;23;7,0;23;7,0;23;6,6;23;6,6;6,8;,0
2018;00CB;00;SGM VO Vrije Schoolond;0268;NIJMEGEN;NIJMEGEN;Gelderland;HAVO;1033;kuda;kunst (dans);;0;0;7;6,9;7;6,9;7;6,7;7;6,7;6,9;,0
2018;00CB;00;SGM VO Vrije Schoolond;0268;NIJMEGEN;NIJMEGEN;Gelderland;HAVO;1039;lit;literatuur;;0;0;57;6,6;0;,0;0;,0;0;,0;6,7;,0
2018;00CB;00;SGM VO Vrije Schoolond;0268;NIJMEGEN;NIJMEGEN;Gelderland;HAVO;1062;nezl;Nederlandse taal;;0;0;57;6,3;57;6,3;57;6,2;57;6,2;6,3;,0
2018;00CB;00;SGM VO Vrije Schoolond;0268;NIJMEGEN;NIJMEGEN;Gelderland;HAVO;1063;enzl;Engelse taal;;0;0;57;7,1;57;7,1;57;7,5;57;7,5;7,3;,0
2018;00CB;00;SGM VO Vrije Schoolond;0268;NIJMEGEN;NIJMEGEN;Gelderland;HAVO;1064;fazl;Franse taal;;0;0;10;6,9;10;6,9;10;6,5;10;6,5;6,7;,0
2018;00CB;00;SGM VO Vrije Schoolond;0268;NIJMEGEN;NIJMEGEN;Gelderland;HAVO;1065;duzl;Duitse taal;;0;0;12;6,5;12;6,5;12;6,7;12;6,7;6,7;,0
2018;00CB;00;SGM VO Vrije Schoolond;0268;NIJMEGEN;NIJMEGEN;Gelderland;HAVO;1121;RT3F;rekentoets 3F;;0;0;0;,0;0;,0;0;,0;0;,0;,0;5,6
2018;00CB;01;SGM VO Vrije Schoolond;0355;ZEIST;ZEIST;Utrecht;HAVO;0131;ak;aardrijkskunde;;0;0;34;6,3;34;6,3;34;6,0;34;6,0;6,2;,0
2018;00CB;01;SGM VO Vrije Schoolond;0355;ZEIST;ZEIST;Utrecht;HAVO;0260;mu;muziek;;0;0;3;7,7;3;7,7;3;7,3;3;7,3;7,3;,0
2018;00CB;01;SGM VO Vrije Schoolond;0355;ZEIST;ZEIST;Utrecht;HAVO;0301;anw;algemene natuurwetenschappen;;0;0;47;7,1;0;,0;0;,0;0;,0;7,1;,0
2018;00CB;01;SGM VO Vrije Schoolond;0355;ZEIST;ZEIST;Utrecht;HAVO;0353;lo;lichamelijke opvoeding;G;38;38;0;,0;0;,0;0;,0;0;,0;,0;,0
2018;00CB;01;SGM VO Vrije Schoolond;0355;ZEIST;ZEIST;Utrecht;HAVO;0353;lo;lichamelijke opvoeding;V;8;8;0;,0;0;,0;0;,0;0;,0;,0;,0
2018;00CB;01;SGM VO Vrije Schoolond;0355;ZEIST;ZEIST;Utrecht;HAVO;1001;netl;Nederlandse taal en literatuur;;0;0;46;7,2;46;7,2;46;6,8;46;6,8;6,9;,0
2018;00CB;01;SGM VO Vrije Schoolond;0355;ZEIST;ZEIST;Utrecht;HAVO;1002;entl;Engelse taal en literatuur;;0;0;46;7,3;46;7,3;46;7,5;46;7,5;7,5;,0
2018;00CB;01;SGM VO Vrije Schoolond;0355;ZEIST;ZEIST;Utrecht;HAVO;1003;fatl;Franse taal en literatuur;;0;0;14;6,4;14;6,4;14;5,8;14;5,8;6,2;,0
2018;00CB;01;SGM VO Vrije Schoolond;0355;ZEIST;ZEIST;Utrecht;HAVO;1004;dutl;Duitse taal en literatuur;;0;0;20;6,8;20;6,8;20;6,2;20;6,2;6,6;,0
2018;00CB;01;SGM VO Vrije Schoolond;0355;ZEIST;ZEIST;Utrecht;HAVO;1018;biol;biologie;;0;0;16;6,5;16;6,5;16;6,8;16;6,8;6,8;,0
2018;00CB;01;SGM VO Vrije Schoolond;0355;ZEIST;ZEIST;Utrecht;HAVO;1019;maat;maatschappijleer;;0;0;47;7,2;0;,0;0;,0;0;,0;7,2;,0
2018;00CB;01;SGM VO Vrije Schoolond;0355;ZEIST;ZEIST;Utrecht;HAVO;1020;ckv;culturele en kunstzinnige vorming;;0;0;47;7,6;0;,0;0;,0;0;,0;7,6;,0
2018;00CB;01;SGM VO Vrije Schoolond;0355;ZEIST;ZEIST;Utrecht;HAVO;1021;ges;geschiedenis;;0;0;33;6,9;33;6,9;33;6,7;33;6,7;6,8;,0
2018;00CB;01;SGM VO Vrije Schoolond;0355;ZEIST;ZEIST;Utrecht;HAVO;1022;econ;economie;;0;0;18;6,4;18;6,4;18;6,0;18;6,0;6,2;,0
